#time =  3.6000071E+02
#  y    y+    Umean    Tmean
  1.962200951E+00  3.497576258E+02  6.296723284E+00              NaN
  1.964697357E+00  3.502026042E+02  5.936855322E+00              NaN
  1.967082059E+00  3.506276717E+02  5.582513077E+00              NaN
  1.969359799E+00  3.510336734E+02  5.234831722E+00              NaN
  1.971535139E+00  3.514214225E+02  4.894791808E+00              NaN
  1.973612468E+00  3.517917014E+02  4.563243317E+00              NaN
  1.975596006E+00  3.521452622E+02  4.240892056E+00              NaN
  1.977489809E+00  3.524828281E+02  3.928289200E+00              NaN
  1.979297775E+00  3.528050937E+02  3.625837860E+00              NaN
  1.981023645E+00  3.531127260E+02  3.333824389E+00              NaN
  1.982671014E+00  3.534063655E+02  3.052415196E+00              NaN
  1.984243328E+00  3.536866267E+02  2.781660708E+00              NaN
  1.985743895E+00  3.539540992E+02  2.521524344E+00              NaN
  1.987175887E+00  3.542093483E+02  2.271895877E+00              NaN
  1.988542344E+00  3.544529162E+02  2.032601438E+00              NaN
  1.989846183E+00  3.546853222E+02  1.803413434E+00              NaN
  1.991090194E+00  3.549070642E+02  1.584063265E+00              NaN
  1.992277053E+00  3.551186191E+02  1.374250667E+00              NaN
  1.993409322E+00  3.553204434E+02  1.173664703E+00              NaN
  1.994489455E+00  3.555129743E+02  9.819752892E-01              NaN
  1.995519797E+00  3.556966305E+02  7.988468669E-01              NaN
  1.996502598E+00  3.558718123E+02  6.239468853E-01              NaN
  1.997440006E+00  3.560389031E+02  4.569410018E-01              NaN
  1.998334079E+00  3.561982694E+02  2.974969516E-01              NaN
  1.999186783E+00  3.563502619E+02  1.452889595E-01              NaN
  2.000000000E+00  3.564952159E+02  0.000000000E+00              NaN
